text,author,likes,replyCount,cleaned_text
Watch this episode fully uncensored & ad-free on Patreon: https://patreon.com/dannyjonesSupport the show by checking out our sponsors:https://bit.ly/viiadannyjones - Try VIIA & use code DANNYhttps://whiterabbitenergy.com/?ref=DJP - Use code DJP for 20% off,@dannyjones,141,64,watch this episode fully uncensored  adfree on patreon  the show by checking out our sponsors  try viia  use code danny  use code djp for  off
If they took vaccines off the market 1/2 the country would lose their shit.  These two lunatics want to sacrifice the good for the perfect.,@AC-sq1gt,0,0,if they took vaccines off the market  the country would lose their shit  these two lunatics want to sacrifice the good for the perfect
Calley how many more babies and parents have to die while youre busy with niceties? Thats the issue,@educatedgypsee2351,0,0,calley how many more babies and parents have to die while youre busy with niceties thats the issue
Why would Jack turn down Rogan and Tucker? He could call them out just like he did this guy,@itsgoodtobeclean,0,0,why would jack turn down rogan and tucker he could call them out just like he did this guy
"TRUST NOT... anyone who Slowly Measures their speech... Correct Jack... That person is FOS,  just as Jack said in 1st 4 minutes!  A young un-wise guy vs 35+ years of Wisdom.... on display!  jmo",@208lodge8,0,0,trust not anyone who slowly measures their speech correct jack that person is fos  just as jack said in st  minutes  a young unwise guy vs  years of wisdom on display  jmo
"OMG  Danny thank you for hosting this discussion.  I watched it twice, and the suit guy is so full of double speak, it was hard to sit through.   Scary to think he's headed back to Washington and speaking for us. No wonder US is in such a hot mess.",@MichaelMcLeod-k7q,0,0,omg  danny thank you for hosting this discussion  i watched it twice and the suit guy is so full of double speak it was hard to sit through   scary to think hes headed back to washington and speaking for us no wonder us is in such a hot mess
"Omg watching this has made me nauseous.  Seriously. Why is this calley spouting word salads and slick verbiage stammering and side-stepping questions. Jack is so frustrated with the arrogance and repetition and lack of true conversation. Its just painful. Im totally confused about the subject!!! Sounds like a meeting in the senate. Dump the shot for crying out loud.bits doing harm,!!!!!   😢.",@barbaramcdermott2757,0,0,omg watching this has made me nauseous  seriously why is this calley spouting word salads and slick verbiage stammering and sidestepping questions jack is so frustrated with the arrogance and repetition and lack of true conversation its just painful im totally confused about the subject sounds like a meeting in the senate dump the shot for crying out loudbits doing harm   crying_face
wow kinda losing lots of respect for Cali Meanes....... 100%,@the69dragon,0,0,wow kinda losing lots of respect for cali meanes 
Total Jack count anyone?,@grannyali6567,0,0,total jack count anyone
big pHARMa EUGENICS that's the fuckin' agendasnake in the suit speaks with forked tongue & Jackhas that fucker's number!,@samwhitty3036,0,0,big pharma eugenics thats the fuckin agendasnake in the suit speaks with forked tongue  jackhas that fuckers number
Wow is Calley tongue tied.,@katharinewooten4436,0,0,wow is calley tongue tied
"OMFG!!!  I couldn't make it past 20 minutes of this shit show...  I unfollowed Mary on X a couple of months ago because she just seems like a very angry B!tch and this ""conversation"" did absolutely nothing to change my mind.  And, I've never seen or heard of Jack before, but he's almost worse!  I really wanted to hear all sides of this topic and have been opposed to vaccines my whole and long life (my kids and grandkids are unjabbed), but I would have to recommend Anger Management classes for these idiots!!!",@sandroitsme2560,3,1,omfg  i couldnt make it past  minutes of this shit show  i unfollowed mary on x a couple of months ago because she just seems like a very angry btch and this conversation did absolutely nothing to change my mind  and ive never seen or heard of jack before but hes almost worse  i really wanted to hear all sides of this topic and have been opposed to vaccines my whole and long life my kids and grandkids are unjabbed but i would have to recommend anger management classes for these idiots
"This guy Jack might be a genuine good guy that's just righteously pissed off and rightly so if what he is saying is true, but he needs to stfu and let Calley speak. His attitude isn't doing his argument any favors imo, he's being very aggressive and condescending. Not to mention that he thinks every other person or group that he mentions is some kind of a gotcha moment against  Calley. Meanwhile Calley isn't trying to hide or deflect from anything.",@CunningAndGuile,0,0,this guy jack might be a genuine good guy thats just righteously pissed off and rightly so if what he is saying is true but he needs to stfu and let calley speak his attitude isnt doing his argument any favors imo hes being very aggressive and condescending not to mention that he thinks every other person or group that he mentions is some kind of a gotcha moment against  calley meanwhile calley isnt trying to hide or deflect from anything
"I am out,can not have a conversation without people talking over each other.",@Jzsons,0,0,i am outcan not have a conversation without people talking over each other
It was a great discussion,@dickieromans6235,1,0,it was a great discussion
Calley comes off shady AF.,@isaacmontoya9144,1,0,calley comes off shady af
Seed oils & the 2000+ other banned chemicals that we come into contact with in our daily life. Leave the US.,@nickrajotte6802,3,0,seed oils  the  other banned chemicals that we come into contact with in our daily life leave the us
"Jack Kruse is goat, and a bitcoiner. lets gooo.",@desade9baron,1,0,jack kruse is goat and a bitcoiner lets gooo
The cracking fake voice of the very well trained psychopath... Calle's job is  to spread confusion...CIA chump.,@ronwishbone,2,0,the cracking fake voice of the very well trained psychopath calles job is  to spread confusioncia chump
The book deals have been for a long time ago way of payment for the globalist cabal agents or those working for the agenda. That's obviously why the lobbyist sold 1 mill copies right off rip. It's just another way of payment or bribery duh.,@bennettchandlerii3614,1,0,the book deals have been for a long time ago way of payment for the globalist cabal agents or those working for the agenda thats obviously why the lobbyist sold  mill copies right off rip its just another way of payment or bribery duh
"Calle definitely is fake..100% voice and hands fake..Sounds more like a fake politician...Jack is a monster, love the guy...",@ronwishbone,2,0,calle definitely is fake voice and hands fakesounds more like a fake politicianjack is a monster love the guy
"I'm with the doctor, Calley dances too much",@cathymcmahan7530,2,0,im with the doctor calley dances too much
We are absolutely with Jack On swift and immediately decisions and accountability. THEPEOPLE are waaayyy past transparency!!!!!!! Let us be very clear!!,@brendasei7112,3,0,we are absolutely with jack on swift and immediately decisions and accountability thepeople are waaayyy past transparency let us be very clear
It sounds like Cali wants a truce that's what he means by a science reset like just look past all the crimes against humanity and forget about it all. NO WE WONT FORGET! I am starting to wonder about how much this administration will actually get done that truly benefits we the people and our freedoms.,@bennettchandlerii3614,2,0,it sounds like cali wants a truce thats what he means by a science reset like just look past all the crimes against humanity and forget about it all no we wont forget i am starting to wonder about how much this administration will actually get done that truly benefits we the people and our freedoms
Cali is so full of sh!t it's obvious. He says utter transparency and truth 😆 but that would mean immediately banning and arresting a whole lot of people. He keeps reiterating oh it's not a debate because he can't debate any of the real data. The lady and Jack are fantastic we need more people like them that don't pull punches and say what they mean.,@bennettchandlerii3614,1,0,cali is so full of sht its obvious he says utter transparency and truth smiling_face_with_open_mouth_&_closed_eyes but that would mean immediately banning and arresting a whole lot of people he keeps reiterating oh its not a debate because he cant debate any of the real data the lady and jack are fantastic we need more people like them that dont pull punches and say what they mean
My Bullshit meter is off the charts with this Calley guy!,@Del-du5jx,2,0,my bullshit meter is off the charts with this calley guy
"Five topics to fix society via discussion:-Anti-natalism vs Natalism -The 3 basic needs/prenatal needsThree things necessary for human evolution that are provided while in the womb which are; food, shelter and medical care.-Platinum rule Do whatever makes one happier unless it interferes with another persons ability to do the same.-MBTI (research yours and connect with others)-Art (pick one and get better at it!)",@deshaebeasley,1,0,five topics to fix society via discussionantinatalism vs natalism the  basic needsprenatal needsthree things necessary for human evolution that are provided while in the womb which are food shelter and medical careplatinum rule do whatever makes one happier unless it interferes with another persons ability to do the samembti research yours and connect with othersart pick one and get better at it
"This cabal tool knows NOTHING about spiritual awakening - the EXACT words cabal has started using in the last month or two to muddy christian waters, using every tool to hook the sheep - Pulls out the anger & hate cards, not base - sounds like all manipulators / fraudsters",@redtoplanding5160,1,0,this cabal tool knows nothing about spiritual awakening  the exact words cabal has started using in the last month or two to muddy christian waters using every tool to hook the sheep  pulls out the anger  hate cards not base  sounds like all manipulators  fraudsters
"Also, we do NOT need to vote for personal sovereignty!!!We are born with GOD given rights, period!!",@kebbasda,2,0,also we do not need to vote for personal sovereigntywe are born with god given rights period
If parents are that stupid to NOT know the difference between junk processed food their kids sick and dumbed down they have NO business having kids and parents who even buy that type of book he wrote SHOULD have been told to NOT give their kids the vaccines! POOR parents are NOT going to buy books on food to feed their kids. Get real.,@ozarkcyn1,2,0,if parents are that stupid to not know the difference between junk processed food their kids sick and dumbed down they have no business having kids and parents who even buy that type of book he wrote should have been told to not give their kids the vaccines poor parents are not going to buy books on food to feed their kids get real
