text,author,likes,replyCount,cleaned_text
this world is very old in civilization terms,@pradeepjokhan9278,0,0,this world is very old in civilization terms
I believe that all the pyramids around the world should be scanned now and they will possibly find similar structures among them,@pradeepjokhan9278,0,0,i believe that all the pyramids around the world should be scanned now and they will possibly find similar structures among them
Will the pyramids in central America be the same ?,@bet_big9917,0,0,will the pyramids in central america be the same ?
There is evidence of water in the past so I think it is piles to support the pyramids,@bet_big9917,0,0,there is evidence of water in the past so i think it is piles to support the pyramids
All of this is explained in the emerald tablets of Thoth,@thesavragechapters6566,0,0,all of this is explained in the emerald tablets of thoth
The halls of Amenti,@thesavragechapters6566,0,0,the halls of amenti
makes sense to have columns under to support all that weight when building on soft sand,@ten54,0,0,makes sense to have columns under to support all that weight when building on soft sand
Alex Collier told us 30 years ago that the pyramids are anchors. That they stop the planet from wobbling.,@petraselah7152,0,0,alex collier told us  years ago that the pyramids are anchors. that they stop the planet from wobbling.
Hawas or how ever ya spell dismisses everything apart from what he has done,@kanenstuff,0,0,hawas or how ever ya spell dismisses everything apart from what he has done
Al Quran in 1400 years ago told us about this discovery❤❤ check surat ghafir ayat 36,@sarbastbejaw6319,0,0,al quran in  years ago told us about this discoveryred_heartred_heart check surat ghafir ayat 
Looks like a giant underground battery storage,@LeonJake1988,0,0,looks like a giant underground battery storage
And they still want us to believe it was all handmade with stone and copper chisels 😂😂,@XboXmanUk,0,0,and they still want us to believe it was all handmade with stone and copper chisels face_with_tears_of_joyface_with_tears_of_joy
It's nonsense. Not even the vertical shafts,@samkelemleni8973,0,0,it's nonsense. not even the vertical shafts
I feel like this story and info will get quashed,@sharonsabbagh5843,0,0,i feel like this story and info will get quashed
Quran 89:10 mentions Pharoah owner of stakes (some also translate might structure) so one can infer a mighty structure with stakes,@YZ_ACM,0,0,quran : mentions pharoah owner of stakes (some also translate might structureConfusion so one can infer a mighty structure with stakes
"physicists last year: ""whelp, looks like the time we thought was the start of the universe was totally wrong""mainstream archaeologists now:  ""crap""",@coppulor6500,0,0,"physicists last year: ""whelp, looks like the time we thought was the start of the universe was totally wrong""mainstream archaeologists now:  ""crap"""
I think this is Fallen Angel technology.  Just like the Ufos we have been seeing for many years.,@user-theBoss-f6v4,0,0,i think this is fallen angel technology.  just like the ufos we have been seeing for many years.
Blows up the evolution theory to bits. Wonder how scientist are going to explain this in their evolution theory?,@user-theBoss-f6v4,0,0,blows up the evolution theory to bits. wonder how scientist are going to explain this in their evolution theory?
"reminds me of a comic I saw once from a far away perspective showing the sphinx or pyramids as tips of the iceberg, so to speak.   with the rest of the massive statues buried below. can't remember if it was far side or in mad magazine.",@coppulor6500,0,0,"reminds me of a comic i saw once from a far away perspective showing the sphinx or pyramids as tips of the iceberg, so to speak.   with the rest of the massive statues buried below. can't remember if it was far side or in mad magazine."
Zahi Hawass left the group...,@stefanopatteri5171,0,0,zahi hawass left the group...
which source of information proves this discovery. why is not on media if its true?,@joantrendafilov7963,0,0,which source of information proves this discovery. why is not on media if its true?
I wonder when they will start planting olive trees all around the Great Pyramid like they did with Gobekli Tepe.,@aaronblank2318,0,0,i wonder when they will start planting olive trees all around the great pyramid like they did with gobekli tepe.
"What's wrong with Joe's Voice, like slow motion lol",@adriyanmusic,0,0,"what's wrong with joe's voice, like slow motion lol"
"I really doubt that the Egyptians will allow anyone to excavate under it.And I know they have good reason, the whole think is build over SAND, one bad hole and the whole thing will implode like a castle in the sand 😂",@raulbarros8077,0,0,"i really doubt that the egyptians will allow anyone to excavate under it.and i know they have good reason, the whole think is build over sand, one bad hole and the whole thing will implode like a castle in the sand face_with_tears_of_joy"
America about to give Egyptians some freedom..😂😂,@thewatchers8701,0,0,america about to give egyptians some freedom..face_with_tears_of_joyface_with_tears_of_joy
im hearing that this isnt peer reviewed and theres no real evidence.,@lookwithin,0,0,im hearing that this isnt peer reviewed and theres no real evidence.
The elites are so scared we'll find out the technology is real. They have it. Why cant we?,@unqualifiedproductions1275,1,0,the elites are so scared we'll find out the technology is real. they have it. why cant we?
Travel through the land and see how was the end of those before you; most of them were mightier than you in power and left behind monuments and traces for you to ponder.29:20 Quran,@asb87,0,0,travel through the land and see how was the end of those before you; most of them were mightier than you in power and left behind monuments and traces for you to ponder.: quran
Can't be the only location on earth that this has been done,@Guy-wl8jk,0,0,can't be the only location on earth that this has been done
The world is starting to feel like the movie Stargate,@theawesomeman9821,0,0,the world is starting to feel like the movie stargate
Just read books and you would know what the pyramids were for. To stabilize the earth so it could be terraformed. Enki was the architect. Read read read seek read books,@ewo924,0,0,just read books and you would know what the pyramids were for. to stabilize the earth so it could be terraformed. enki was the architect. read read read seek read books
I think it was a geothermal plant. Only thing that seems very plausible to me.,@itsoundzgood,0,0,i think it was a geothermal plant. only thing that seems very plausible to me.
Mindblowing... Can not wait for the history books to be rewritten again 😊,@pdude1911,0,0,mindblowing... can not wait for the history books to be rewritten again smiling_face_with_smiling_eyes
"MALANGA , MEI , BIONDI Tutto lavoro ITALIANO❤",@attattebaio,0,0,"malanga , mei , biondi tutto lavoro italianored_heart"
The same way they enroll technology is the same way the world isn't ready for the truth ...the arc of the covernant is the battery to bring the pyramid alive,@greny356,0,0,the same way they enroll technology is the same way the world isn't ready for the truth ...the arc of the covernant is the battery to bring the pyramid alive
Pyramids are force field generators all over the world that  create a force field to protect the earth from being destroyed. To those responsible for the pyramids. We thank you. We apologize for being more of a threat to the world than anything else.,@jaysongomez9899,0,0,pyramids are force field generators all over the world that  create a force field to protect the earth from being destroyed. to those responsible for the pyramids. we thank you. we apologize for being more of a threat to the world than anything else.
It was built pre flood. The global flood covered this huge structure up and only the pyramid tops were left exposed. Initially the sphinx only had its head exposed above the surface. The rest had to be excavated.,@fivebooks8498,0,0,it was built pre flood. the global flood covered this huge structure up and only the pyramid tops were left exposed. initially the sphinx only had its head exposed above the surface. the rest had to be excavated.
What I think they are is crazy but I think who ever lives under ground knows how to use pyramids from under ground and built from bottom up into em jus a theory 😅,@ALegend4,0,0,what i think they are is crazy but i think who ever lives under ground knows how to use pyramids from under ground and built from bottom up into em jus a theory smiling_face_with_open_mouth_&_cold_sweat
"The Pyramids maybe built buy Giants , Fallen Angles Mastodon's , and Triceratops raised and trained from baby  to do the heavy dragging, to try to find favor with  Jehovah Yahweh, after there fall before the Family of Noah and the Great Flood.  JUST A THOUGHT?",@DaygoDown,0,0,"the pyramids maybe built buy giants , fallen angles mastodon's , and triceratops raised and trained from baby  to do the heavy dragging, to try to find favor with  jehovah yahweh, after there fall before the family of noah and the great flood.  just a thought?"
This needs to be talked about MUCH more,@Zack-uw1re,2,0,this needs to be talked about much more
Has Joe even been to Egypt though? 😂,@akaashusssin6515,0,0,has joe even been to egypt though? face_with_tears_of_joy
Lidar cannot detect anything underground...  google is on your damn phone people stop being lazy and do ur own research.,@KevinV-fo3om,0,0,lidar cannot detect anything underground...  google is on your damn phone people stop being lazy and do ur own research.
Could these structures beneath the great pyramid be the tower of babble.  That the sand surrounding them be a remnant of the great flood?  That the pyramid built on top of the tower was constructed after the flood?,@MrSparkyBarney,0,0,could these structures beneath the great pyramid be the tower of babble.  that the sand surrounding them be a remnant of the great flood?  that the pyramid built on top of the tower was constructed after the flood?
