text,author,likes,replyCount,cleaned_text
Watch clips from Superbad on the Movieclips channel: https://www.youtube.com/playlist?list=PLZbXA4lyCtqoNh5TN-mNU2qa7fMY7DnwW,@RottenTomatoesCLASSICTRAILERS,111,6,watch clips from superbad on the movieclips channel 
This movie is so fire,@pierremarais2184,0,0,this movie is so fire
"Violent misogynist Seth Rogan is in it, his threats against women make this no longer funny 😐",@RoboBreaker,0,0,violent misogynist seth rogan is in it his threats against women make this no longer funny neutral_face
A true work of art,@magnumlad1001,0,0,a true work of art
So overrated. Not a single actually funny moment in this movie,@awolfx7947,0,0,so overrated not a single actually funny moment in this movie
"If there's a person on God's Green Earth who is more grateful than me to this film for launching Emma Stone's career, then I don't know who it is!!! ❤😂🎉",@EricBrodie-dy3mp,2,0,if theres a person on gods green earth who is more grateful than me to this film for launching emma stones career then i dont know who it is red_heartface_with_tears_of_joyparty_popper
"Best comedy ever made. ""NOOO MCLOVIN, WHYYYYYYY"" hahahahahah, I've laughed for 10 years 😂",@mendezgalvez,0,0,best comedy ever made nooo mclovin whyyyyyyy hahahahahah ive laughed for  years face_with_tears_of_joy
best movie ever made,@dirkrunfast,0,0,best movie ever made
We more comedy like this and just remakes or reboots back when high school used to look in the early 2000s.,@jacobgarrity6410,0,0,we more comedy like this and just remakes or reboots back when high school used to look in the early s
ONE of the GREATEST COMEDIES of ALL-TIME!!!,@JeffyPlaysItAll,0,0,one of the greatest comedies of alltime
We had it so good in the 2000s and we didn't even know it,@adsadam1,0,0,we had it so good in the s and we didnt even know it
before social media accounts kill interactions,@Emmet-q4h,2,0,before social media accounts kill interactions
Me and my friends quote this movie regularly since it came out when we was 12  and now we about to be 30,@cult_horror_junkie8144,0,0,me and my friends quote this movie regularly since it came out when we was   and now we about to be 
is it just me or these both guys felt gayish in the end?,@rishabhsharma602,0,0,is it just me or these both guys felt gayish in the end
"The movie is all about ps2,flip phone, high school flex of our Gen z.Thank you",@yzx9122,0,0,the movie is all about psflip phone high school flex of our gen zthank you
"Greatest comedy of all time. I remember seeing this aged 16 , never laughed so hard before",@MaxKurth-cs8dt,2,0,greatest comedy of all time i remember seeing this aged   never laughed so hard before
Girish Ad fav movie,@bijuabraham3481,1,0,girish ad fav movie
This movie still ranks up there with the all time funniest of all time hit the like button if you agree,@Jung1981giggles,0,0,this movie still ranks up there with the all time funniest of all time hit the like button if you agree
Like here who comes from Instragram ❤,@DEVAR270,0,0,like here who comes from instragram red_heart
Our generation's Animal House,@bionicload7704,0,0,our generations animal house
We need a superbad 2,@RapRmxKing,0,0,we need a superbad 
gar nicht mal so lustig,@93Beefcake,0,0,gar nicht mal so lustig
😂😂😂😂😂😂😂😂😂😂watched this movie for first time in 2024 is so good ❤,@silverjay4455,0,0,face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joywatched this movie for first time in  is so good red_heart
Thank you to everyone that worked on superbad I watched it so much,@yorucyber2630,0,0,thank you to everyone that worked on superbad i watched it so much
Came here after watching the legendary movie Project X,@Last_Avenger96,0,0,came here after watching the legendary movie project x
Oh awkward high school days ❤️,@realfakehollywood,0,0,oh awkward high school days red_heart
Anyone who went thou public highschool in the mid 2000s gets this movie.,@Luke-ye3tn,0,0,anyone who went thou public highschool in the mid s gets this movie
by far my favorite comedy movie ever 😂😂,@MYTHkaz876,4,0,by far my favorite comedy movie ever face_with_tears_of_joyface_with_tears_of_joy
Hahahaha this is a movie i keep going back to every year it's gold,@PureVikingPowers,0,0,hahahaha this is a movie i keep going back to every year its gold
"Loved this movie, watched it even in my childhood when my older cousin showed me it, fell in love with this movie ever since 😂😂🇬🇧🇬🇧",@perkiewitthelean751,0,0,loved this movie watched it even in my childhood when my older cousin showed me it fell in love with this movie ever since face_with_tears_of_joyface_with_tears_of_joy
"Holy nuts this move was released on my birthday, Aug 17",@carmelomillan-carpo8591,0,0,holy nuts this move was released on my birthday aug 
"there is 1 movie where there are trio. One by one of them entered the room at a party with their crush. I don't clearly remember, but one of them had sushi rubbed on his crush's armpits, and the guy ate it",@sideophone,1,2,there is  movie where there are trio one by one of them entered the room at a party with their crush i dont clearly remember but one of them had sushi rubbed on his crushs armpits and the guy ate it
Te amo mi yessita ♡,@maisoumenos7925,1,0,te amo mi yessita 
Is this THE funniest movie ever?,@supratikpaul9772,0,0,is this the funniest movie ever
"THIS IS MY BEST MOVIE TO CHILL OUT, THANK YOU TO ALL THE GREAT PEOPLE WHO MADE IT POSSIBLE, please receive a hug to that funky soul dear ones",@theros_oncore,1,0,this is my best movie to chill out thank you to all the great people who made it possible please receive a hug to that funky soul dear ones
Omg. In 4 short years this movie will be 20 years old!! 😬The 2000s are becoming the new 80s,@jamieposeidonmccarthy,5,0,omg in  short years this movie will be  years old grimacing_facethe s are becoming the new s
Mclovin'? More like Mcstinkin'.,@saffronman100,0,0,mclovin more like mcstinkin
Very funny movie 😂😂😂,@WWEtheHunter,0,0,very funny movie face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy
This movie defined my high school experience,@JohnSmith-nm4zd,2,0,this movie defined my high school experience
my fav movie ever!!!,@cityofvicee,0,0,my fav movie ever
One of the last good comedies,@lakelanierbound,0,0,one of the last good comedies
This came out the year after I graduated HS. Brings so many memories ❤😂 I might need to watch it tonight,@gbecks3672,2,0,this came out the year after i graduated hs brings so many memories red_heartface_with_tears_of_joy i might need to watch it tonight
