text,author,likes,replyCount,cleaned_text
They lost me on  0:15 who ever made this video is truly in tune with their wild imagination .,@repentorperish7630,0,0,they lost me on   who ever made this video is truly in tune with their wild imagination 
Its joeover.  The west has fallen chat 😔,@mrbaddin,0,0,its joeover  the west has fallen chat pensive_face
Is he a mad?!,@Destroyer36952,0,1,is he a mad
Knowing of the history of gaza and the situation...this is just disgusting and disrespectful to the reality that is happening in this moment. 😢,@belonging9200,2,0,knowing of the history of gaza and the situationthis is just disgusting and disrespectful to the reality that is happening in this moment crying_face
"SICK, SICK, SICK man!",@sylviabowman2927,0,0,sick sick sick man
Best thing on the guardian in years 😂,@emilygooner9697,2,0,best thing on the guardian in years face_with_tears_of_joy
So they want to clone Dubai? Can the rich Saudis pick up the bill as well since it is all Saudi style...,@199724,1,0,so they want to clone dubai can the rich saudis pick up the bill as well since it is all saudi style
Did Trump really make this,@cespy1885,1,0,did trump really make this
Why are we in league with Israel?,@Xixbalba,0,0,why are we in league with israel
What is Elon Musk eating?,@SaadiqEl07,0,0,what is elon musk eating
This is a total disgrace. Every U.S. citizen with morals should be outraged at Trump. Sick!!!,@mgronda410,4,0,this is a total disgrace every us citizen with morals should be outraged at trump sick
"Ok MAGAs, now do you see the true character of Trump?",@davo2587,2,0,ok magas now do you see the true character of trump
"When will Trump and Netanyahu be judged on this earth, who have the blood of innocent Palestinian children on their hands?😢😢😢",@damavacadanza,2,0,when will trump and netanyahu be judged on this earth who have the blood of innocent palestinian children on their handscrying_facecrying_facecrying_face
"If a Palestinian released this video about the US we would have world war 3, scary how much of a double standard people have.",@Galactic2564,1,0,if a palestinian released this video about the us we would have world war  scary how much of a double standard people have
Gaza is not for anyone to just take it!,@sumanshaikh7227,2,0,gaza is not for anyone to just take it
He is worse than Dwayne Elizondo Mountain Dew Herbert Camacho!,@SuperLetout,0,0,he is worse than dwayne elizondo mountain dew herbert camacho
Time to book a flight 🎉,@Sadist8668,2,1,time to book a flight party_popper
Nope don't like the golden statue s of Trump those are nothing but adols . Other than that I'm all for Trump,@danasmith8557,0,0,nope dont like the golden statue s of trump those are nothing but adols  other than that im all for trump
I thought the United Arab Emirates was the Riviera of the Middle East.,@TheRealScottGilbert,0,0,i thought the united arab emirates was the riviera of the middle east
since covid everything feels like a fever dream,@alans1772,2,0,since covid everything feels like a fever dream
