text,author,likes,replyCount
Get an exclusive 15% discount on Saily data plans! Use code johnnyharris at checkout. Download Saily app or go to https://saily.com/johnnyharris,@johnnyharris,89.0,29.0
Go to Google Images of Bryce Harper and minimize one next to Johnny’s face.  Doppelgängers,@ScottySundown,0.0,0.0
Doesnt China support North Korea?,@Kapishi101,0.0,0.0
Do the jfk files next,@themarcryan,0.0,0.0
"It's Myanmar, not, ""me-n-ma""",@Chicanery_Artifice,0.0,0.0
"I wonder if China not being “involved” in proxy war but fueling countries into civil war via false information on social media to skew the citizens into civil unrest. Once the country is heavily divided and distracted, China can continue to be a country to promote as a new superpower. Just a what if…",@rrhansell,0.0,0.0
Propaganda takes over minds,@rocki595,0.0,0.0
"This is American level ignorance really. Sure you can integrate it that way but if you live in the countries communist and dictatorship is a treat, you would not think it as my country is a proxy war but grateful for the support their get to stand what is right.",@upcom1ng116,0.0,0.0
"India and Pakistan as well!The US actively supported Pakistan in its war against India, because the US considered Pakistan as an ally in their cold war against Russia. US supported by deliberately undermining the Bangladeshi Genocide during the Bangladesh's war of independence against Pakistan. Actively supported Pakistan, suppliing weapons to Pakistan during the 1999 Kargil war against India and India ultimately received support from Russia.This is one of the reasons why there is a very high perception of Russia being friendly and US being a traitor among Indians",@Hello-qs6me,1.0,0.0
"@26:15 So we are just going to ignore China's Involvement in the Korean War, Vietnam War, their invasion of Mongolia and to a lesser extent Tibet and their continued hectoring of Taiwan? I know the sovereignty of Tibet and Taiwan are ""sorta"" in question but Mongolia has been a separate country for centuries before China split it in half in the 20th century and again they had boots on the ground in Korea and Vietnam. They haven't been tangibly involved recently but don't act like that its some sacrosanct value they never violate, when they have gotten involved in proxy wars too.I mean your statement is just false.",@robertmunciework,0.0,0.0
PRC meddled in Canadian elections & leadership races.,@jasperli,0.0,0.0
Why you shouldn't avoid it?Just a suggestion,@1993hafs7,0.0,0.0
Music is annoying!,@1993hafs7,0.0,0.0
"Since they can't use mercenary armies no more, what did you expect. They should've seen this coming.",@estkee2120,0.0,0.0
"Time for a chapter on how China sees war... Read the art of war and unrestricted warfare...For the CCP , kinetic war is just the last stage of war (to be avoided if possible) but all the other forms of war they use (grey zone tactics, lawfare, propaganda warfare, cyber warfare, weaponization of civilian population etc... ) are also very destructive",@juangotti9348,0.0,0.0
16:35 no mention of you father america ... nice propaganda video....!,@FrostBite_0015,0.0,0.0
Never thought i would say this BUT bring back wars version 1.0 😂😂,@KaramAlayan,1.0,0.0
"You are describing how your country,(US) has been using this tactics against other nations. Incidentally a certain country  in the middle east has been playing the US for its own purpose  the same way, what goes round comes around.",@dosunmupelumi7845,0.0,0.0
"Let's talk about lnformatics of conflict. Take the supposed 'peterpandemic' and 'safe and effective' as an example. How many livelihoods were shaken, businesses lost, money made by 'drug' (pharmakeia) carteIs? Infowars including propaganda? While the leaders of the western nations make warIike decisions, are not the cries of the population for 'no more war' and 'Russia is n0t the enemy, look within' being siIenced? Is there not a battle of the priviIeged power-wieIding eIite being waged against the population? Let's take into context the cognitive bias that distorts the picture. The algorithm with support your worldview. The developers of the software can dial the controls of the outflow of information thus steering the sheeple in a particular direction.Ideas first appear in the mind before manifesting in reality.",@passage2enBleu,0.0,0.0
"Humanloids are animals, fighting and wars are routine of lives. European tribes fight their own tribal wars, so as in Sub-continent(India), Africa, West Asia, Indo-Asia, and Far East Asia.",@merrick6484,1.0,2.0
"11:06 this was exactly the situation with U.S. backed Ukraine while dangling NATO hopes, never to be reached. Ukrainians suffered for it.",@dvessel,0.0,0.0
"Sorry, but Izistan is modified shape of Poland! Not cool to attack us, Johnny!",@MrBlacksford,0.0,0.0
26:15 what?China do get involved into internal matters of other countries Like maoist groups in india gets weapons support from china...Many terrorist died while crossing from pak occupied kashmir to indian side of kashmir had chinese weapons,@durgeshsss,0.0,0.0
"as a Vietnamese, Vietnam War not a proxy war. We fought for ourselves.",@ngoclinhpham2423,0.0,0.0
Watching from Myanmar,@DrPhyoPaing,0.0,0.0
"Man Johnny Harris got wierd. It went from a balanced journalism, to pushing edgy content that is America is maniplating everyone and everyone else is completely innocent. I get it, it's easy to pander to this stuff because propaganda makes is easier to monetise on social media. The reality is that many locals wanted a change and were simply looking for backing. I'm sure China has never taken over regions like tibet by playing the long con. I remember having a housemate who said that they built all the roads in Tibet and so Tibet really just belonged to them.",@SlimSec,0.0,0.0
Check what's happening now in the Philippines.,@jamsampadutan5257,0.0,0.0
Yeah but we’re destroying Russia’s military without actually fighting them so you see it’s big brain,@davidhochstetler4068,0.0,0.0
"a little bit misleading, a lot of errors",@mattyk82,0.0,0.0
Johnny you are not reliable having ties with yes theory connected to scandal when Matt had to leave as your buddy Thomas was in bed with Matts brother and what did you do you just promote them,@robertharper9965,0.0,0.0
