text,author,likes,replyCount
"If you guys enjoyed this video, please consider supporting me on Patreon: <a href=""https://patreon.com/MegaLag"">https://patreon.com/MegaLag</a><br><br>If you have any inside information about PayPal Honey or believe you can contribute to this story, please feel free to contact me confidentially at megalagtips@<a href=""http://proton.me/"">proton.me</a>",@MegaLag,23905,539
Cannot trust those guys on the thumbnail?,@logic8673,0,0
I like that the influencers got f*<b>**ed to when they advertise that sh***</b> 😂,@PeterJung-cx1ib,0,0
This is straight up evil. I knew Paypal is  no good. The moment I registered there my data was sold. I receoved phishing mails and calls DAILY. This company is EVIL,@filsc,0,0
Its not their fault tho they didnt know,@TeumuTemara,0,0
"<a href=""https://www.youtube.com/watch?v=vc4yL3YTwWk&amp;t=1174"">19:34</a> it&#39;s a protection racket 😮",@Epinardscaramel,0,0
Still waiting for part 2...,@K2MusicKSquare,4,0
So? Are you gonna drop a second part or just disappear?,@narwhal9852,2,0
Markiplier was right and is still right,@vector6052,0,0
Question… does capital one do this?,@aaravpatel11,0,0
This now begs the question of where did Honey get these Coupons then?,@dondigao1057,0,0
"<a href=""https://www.youtube.com/watch?v=vc4yL3YTwWk&amp;t=9"">0:09</a> I know what  he’s gonna up load on Feb 1 2025.",@Idontcarelolll,1,0
"Awesome investing! I never installed Honey, but I use PayPal all the time for purchases. I&#39;m so mad at them now for this, I&#39;m going to stop using them unless there is no other way. Thank you for opening my eyes!",@teriwelshanscp3528,1,0
how else you expect them to make money?,@gart6306,0,0
How many people are here because of what Markiplier said,@scourgemalje5926,0,0
I FVCKING LOVE BLUE FLAGS,@HiveCraft2x,0,0
Excellent investigation!,@brandonwadlington8552,0,0
The video is soooo satisfying that I can&#39;t help coming back to watch it again and again since it came out.,@Sop7anaAllah,0,0
Wonder where’s the comments of the YouTubers that sponsored this,@meltingstream3385,1,0
"I think you are off base about ltt man, why single them out and none of the other creators?  LTT response to your video really shows you missed the mark. I think you should issue a retraction and an apology.",@RobertKirkpatrick84,0,0
😂😂,@julienpaskar5738,0,0
Bro drop the second part.,@TheDUDERX,3,0
WTF!! THIS IS CRAZYYY!! SCAMERZZZ <br>Thank u for this infooo Genius<br>when is part2???,@joelleedde,1,0
😮😳,@KitKatSukiKat,0,0
"Thank you for sharing this :) but this might be a very silly question, for the second scam, if the website doesn’t want to provide like 15% of promo code, why don’t they just not set this kind of discount but to partner with honey?",@nickno2980,0,0
where is part 2,@joemama38,2,0
Oh i just discovered that LTT and MrWhosetheboss got &#39;infected&#39; with the scam too... Now im sad.,@VoidTheGamer_Roblox,0,0
"I mean I don’t really care, as a consumer if give me $.89 back while going through the YouTuber I get nothing back",@thejinx9891,0,0
"3pt investigation, goes missing for a month after pt1 is posted.... one has to wonder, did big honey silence Mr. Lag",@cressthunderhawk1492,3,0
"The fact that @linus cant identify n reframe this to wake the customers up, its just too bad",@MrPingping168,1,0
"The Villager News at coordinates (4:2) at <a href=""https://www.youtube.com/watch?v=vc4yL3YTwWk&amp;t=92"">1:32</a>",@Yellowbob1,0,0
Shoutout to markiplier for calling this out 5 years ago when everybody was calling him crazy for it.,@trevorrasbury5903,1,0
Raise your hand if you predicted Honey was a scam ✋,@louis7707,0,0
Honey comes through for me on occasion. Of course i heard about it back when we had commercials on tv not from some jag off gen zers tiktok,@Analwreckage,0,0
Marques  stole your video AND thumbnail @MegaLag,@Cookiethebestwithapaw,2,0
Every time I see a pop up I automatically think computer virus so I never click on it or I don&#39;t buy anything from that page at all.,@dirkdiggler2430,0,0
Tried once found 0 coupons and deleted that mf real quick 😂😂,@longvo11,2,0
"Since you made this video, has anyone else picked up on it and got onboard with what you&#39;re trying to achieve here?<br><br>I am sad to say I have been using Honey since before influencers started to promote products and it has been utterly useless (maybe once I saved $5). I will now uninstall it. Thank you for your video. 🙏",@nakitacally4612,1,0
"Damn, I didn&#39;t know 1 whole month was considered &quot;soon&quot;",@siri3200,4,0
"&quot;This honey influencer scam is so sticky, even Winnie the Pooh is like, &#39;I&#39;m out!&#39; 🍯🐻",@OfficialBeBigTV,0,0
I am advertise that advertisers like google didn&#39;t raise this sooner if ads on your platform appear to have lower conversion rates because an extension is taking credit for advertise less businesses are going to advertise with you and you can&#39;t charge as much,@greenerell484,0,0
"<a href=""https://www.youtube.com/watch?v=vc4yL3YTwWk&amp;t=297"">4:57</a> I knew it would do something like that",@greenerell484,0,0
well I never used it wanted too many browser permissions,@greenerell484,0,0
"A wise man once said &quot;If it&#39;s too good to be true, it probably is&quot;.",@jonibravo99,0,0
Elon Musk is watching the chaos,@VuNam_MCVN,0,0
Thanks for your investigation. Why don&#39;t you consider suing Honey and maybe team up with a few other creators in the process? Let&#39;s destroy this business together.,@DipanjanDe,2,0
ok now i know Honey is a scam now...i&#39;m not so sure about paypal now -_-,@DIIELAST69,0,0
Who falls for this stuff? &quot;Apply discounts&quot;<br>Glad I never installed any of that crap to save a few bucks.,@rssurge,0,0
Does he sound like hugh Jeffrey,@Thecrazygamerkid0616,0,0
I think 100% of the blame lands with honey. Just sayin...,@cicio7777,0,0
"In the 22nd century, Honey will be taught in history classes as a cautionary tale about greed.",@soup9242,0,0
"<a href=""https://www.youtube.com/watch?v=vc4yL3YTwWk&amp;t=459"">7:39</a> who else was expecting, &quot;which is why this video is sponsored by honey!&quot;",@RyanLorber-j1i,0,0
What the hell,@dzeuse65,0,0
glad I ignored honey,@ZippyCoons,1,0
"@megalag hey man, your mic has a strange low frequency hum in sections without background music. Maybe look into it. Nice vids in any case, keep it up",@DummyCrosS,1,0
Anyone know when part 2 is coming out?,@ronb2008,1,0
OMG influencers were lying to me????,@bowlochile,0,0
