text,author,likes,replyCount
Watch this episode fully uncensored & ad-free on Patreon: https://patreon.com/dannyjonesSupport the show by checking out our sponsors:https://bit.ly/viiadannyjones - Try VIIA & use code DANNYhttps://whiterabbitenergy.com/?ref=DJP - Use code DJP for 20% off,@dannyjones,141,64
If they took vaccines off the market 1/2 the country would lose their shit.  These two lunatics want to sacrifice the good for the perfect.,@AC-sq1gt,0,0
Calley how many more babies and parents have to die while youre busy with niceties? Thats the issue,@educatedgypsee2351,0,0
Why would Jack turn down Rogan and Tucker? He could call them out just like he did this guy,@itsgoodtobeclean,0,0
"TRUST NOT... anyone who Slowly Measures their speech... Correct Jack... That person is FOS,  just as Jack said in 1st 4 minutes!  A young un-wise guy vs 35+ years of Wisdom.... on display!  jmo",@208lodge8,0,0
Transparency bro,@conorlynch1441,0,0
"OMG  Danny thank you for hosting this discussion.  I watched it twice, and the suit guy is so full of double speak, it was hard to sit through.   Scary to think he's headed back to Washington and speaking for us. No wonder US is in such a hot mess.",@MichaelMcLeod-k7q,0,0
"Wow, I read the Means book, Good Energy, and really thought they would help to make a difference, but I have to say Callie’s sketchy performance here makes me think again. Casey is afraid to actually take a stand, and sounds much more of a politician, than a freedom fighter. He talks over everyone, doesnt answer questions, but stops them from responding or asking him questions. Very disappointing!",@franherzog7073,0,0
"Great people who are so full of themselves they are behaving like children.  Imagine a table of 3teenagers arguing with raised voices at each other…oh, I am watching that as I write…NOT!  I turned this off for the nonsense of these individual.  Too much ego in one place.  Completely a waste of time and talent.  Good try Danny",@russellstearns9999,0,0
"Omg watching this has made me nauseous.  Seriously. Why is this calley spouting word salads and slick verbiage stammering and side-stepping questions. Jack is so frustrated with the arrogance and repetition and lack of true conversation. Its just painful. Im totally confused about the subject!!! Sounds like a meeting in the senate. Dump the shot for crying out loud.bits doing harm,!!!!!   😢.",@barbaramcdermott2757,0,0
wow kinda losing lots of respect for Cali Meanes....... 100%,@the69dragon,0,0
Total Jack count anyone?,@grannyali6567,0,0
big pHARMa EUGENICS that's the fuckin' agendasnake in the suit speaks with forked tongue & Jackhas that fucker's number!,@samwhitty3036,0,0
Wow is Calley tongue tied.,@katharinewooten4436,0,0
"OMFG!!!  I couldn't make it past 20 minutes of this shit show...  I unfollowed Mary on X a couple of months ago because she just seems like a very angry B!tch and this ""conversation"" did absolutely nothing to change my mind.  And, I've never seen or heard of Jack before, but he's almost worse!  I really wanted to hear all sides of this topic and have been opposed to vaccines my whole and long life (my kids and grandkids are unjabbed), but I would have to recommend Anger Management classes for these idiots!!!",@sandroitsme2560,3,1
"This guy Jack might be a genuine good guy that's just righteously pissed off and rightly so if what he is saying is true, but he needs to stfu and let Calley speak. His attitude isn't doing his argument any favors imo, he's being very aggressive and condescending. Not to mention that he thinks every other person or group that he mentions is some kind of a gotcha moment against  Calley. Meanwhile Calley isn't trying to hide or deflect from anything.",@CunningAndGuile,0,0
"HOW many times did Calley say “hold on, hold on”, or “Jack, Jack”. Just answer the questions Calley. Stop your BS.",@Netzarim007,0,0
02:41:56 is the main takeaway of the podcast. Calley said it well and it answers Mary’s question at the beginning regarding why he has a larger megaphone than them.,@JosephBojang,0,0
Another WOW !!!Between the UTUBE censorship and the ridiculous level of hostility of this “Dr.” Cali Means has the patience of Job !!! These two have no idea how policy is made ! You can’t be so controversial that no one will listen to what your saying! The point is to get to the place where you ACTUALLY have the power to change things ! The deep state is in place till Monday Jan 20 @ 12:00 !,@mebmom3,0,0
"I am out,can not have a conversation without people talking over each other.",@Jzsons,0,0
It was a great discussion,@dickieromans6235,1,0
Calley comes off shady AF.,@isaacmontoya9144,1,0
Seed oils & the 2000+ other banned chemicals that we come into contact with in our daily life. Leave the US.,@nickrajotte6802,3,0
"Jack Kruse is goat, and a bitcoiner. lets gooo.",@desade9baron,1,0
The cracking fake voice of the very well trained psychopath... Calle's job is  to spread confusion...CIA chump.,@ronwishbone,2,0
The book deals have been for a long time ago way of payment for the globalist cabal agents or those working for the agenda. That's obviously why the lobbyist sold 1 mill copies right off rip. It's just another way of payment or bribery duh.,@bennettchandlerii3614,1,0
"Calle definitely is fake..100% voice and hands fake..Sounds more like a fake politician...Jack is a monster, love the guy...",@ronwishbone,2,0
"I'm with the doctor, Calley dances too much",@cathymcmahan7530,2,0
So Calley…the people that pay for this political government are not interested in politics…the poisoning needs to end now or we will in our minds hold everyone who is concerned more with politics as part of the problem.,@brendasei7112,2,0
We are absolutely with Jack On swift and immediately decisions and accountability. THEPEOPLE are waaayyy past transparency!!!!!!! Let us be very clear!!,@brendasei7112,3,0
It sounds like Cali wants a truce that's what he means by a science reset like just look past all the crimes against humanity and forget about it all. NO WE WONT FORGET! I am starting to wonder about how much this administration will actually get done that truly benefits we the people and our freedoms.,@bennettchandlerii3614,2,0
