text,author,likes,replyCount
this world is very old in civilization terms,@pradeepjokhan9278,0,0
I believe that all the pyramids around the world should be scanned now and they will possibly find similar structures among them,@pradeepjokhan9278,0,0
Will the pyramids in central America be the same ?,@bet_big9917,0,0
There is evidence of water in the past so I think it is piles to support the pyramids,@bet_big9917,0,0
Its a Stargate.,@John-cc1bo,0,0
All of this is explained in the emerald tablets of Thoth,@thesavragechapters6566,0,0
The halls of Amenti,@thesavragechapters6566,0,0
"OK, just hear me out Joe, imagine if you would that the sand that is underneath the pyramids isn’t there and the actual structure is holding the pyramid up as though it was a skyscraper!",@ericp_86,0,0
"It’s bullshit, u will find out when you find the details of the story",@SteveFox369,0,0
makes sense to have columns under to support all that weight when building on soft sand,@ten54,0,0
Alex Collier told us 30 years ago that the pyramids are anchors. That they stop the planet from wobbling.,@petraselah7152,0,0
Hawas or how ever ya spell dismisses everything apart from what he has done,@kanenstuff,0,0
Al Quran in 1400 years ago told us about this discovery❤❤ check surat ghafir ayat 36,@sarbastbejaw6319,0,0
Looks like a giant underground battery storage,@LeonJake1988,0,0
And they still want us to believe it was all handmade with stone and copper chisels 😂😂,@XboXmanUk,0,0
It's nonsense. Not even the vertical shafts,@samkelemleni8973,0,0
"Why don’t we just completely dismantle one of the pyramids and see what’s underneath. We’ll put everything back…promise. Seriously, we could spare at least one of them for research purposes.",@thomasfarrell2275,0,0
I feel like this story and info will get quashed,@sharonsabbagh5843,0,0
Quran 89:10 mentions Pharoah owner of stakes (some also translate might structure) so one can infer a mighty structure with stakes,@YZ_ACM,0,0
"physicists last year: ""whelp, looks like the time we thought was the start of the universe was totally wrong""mainstream archaeologists now:  ""crap""",@coppulor6500,0,0
I think this is Fallen Angel technology.  Just like the Ufos we have been seeing for many years.,@user-theBoss-f6v4,0,0
Blows up the evolution theory to bits. Wonder how scientist are going to explain this in their evolution theory?,@user-theBoss-f6v4,0,0
"reminds me of a comic I saw once from a far away perspective showing the sphinx or pyramids as tips of the iceberg, so to speak.   with the rest of the massive statues buried below. can't remember if it was far side or in mad magazine.",@coppulor6500,0,0
Smoke and mirrors,@domsonshuneson6754,0,0
Zahi Hawass left the group...,@stefanopatteri5171,0,0
which source of information proves this discovery. why is not on media if its true?,@joantrendafilov7963,0,0
I wonder when they will start planting olive trees all around the Great Pyramid like they did with Gobekli Tepe.,@aaronblank2318,0,0
Conductors,@tonykehoe123,0,0
"What's wrong with Joe's Voice, like slow motion lol",@adriyanmusic,0,0
? 1 of 8 Entrances to Agartha…,@DeCiMaLVega,0,0
Fallen angel and nephilim demon technology …. They know what it is n definitely know who built em … aliens = fallen angels,@mansaw100,0,0
"I really doubt that the Egyptians will allow anyone to excavate under it.And I know they have good reason, the whole think is build over SAND, one bad hole and the whole thing will implode like a castle in the sand 😂",@raulbarros8077,0,0
America about to give Egyptians some freedom..😂😂,@thewatchers8701,0,0
im hearing that this isnt peer reviewed and theres no real evidence.,@lookwithin,0,0
The elites are so scared we'll find out the technology is real. They have it. Why cant we?,@unqualifiedproductions1275,1,0
Travel through the land and see how was the end of those before you; most of them were mightier than you in power and left behind monuments and traces for you to ponder.29:20 Quran,@asb87,0,0
Can't be the only location on earth that this has been done,@Guy-wl8jk,0,0
The world is starting to feel like the movie Stargate,@theawesomeman9821,0,0
Just read books and you would know what the pyramids were for. To stabilize the earth so it could be terraformed. Enki was the architect. Read read read seek read books,@ewo924,0,0
I think it was a geothermal plant. Only thing that seems very plausible to me.,@itsoundzgood,0,0
Mindblowing... Can not wait for the history books to be rewritten again 😊,@pdude1911,0,0
"MALANGA , MEI , BIONDI Tutto lavoro ITALIANO❤",@attattebaio,0,0
The same way they enroll technology is the same way the world isn't ready for the truth ...the arc of the covernant is the battery to bring the pyramid alive,@greny356,0,0
Pyramids are force field generators all over the world that  create a force field to protect the earth from being destroyed. To those responsible for the pyramids. We thank you. We apologize for being more of a threat to the world than anything else.,@jaysongomez9899,0,0
It was built pre flood. The global flood covered this huge structure up and only the pyramid tops were left exposed. Initially the sphinx only had its head exposed above the surface. The rest had to be excavated.,@fivebooks8498,0,0
What I think they are is crazy but I think who ever lives under ground knows how to use pyramids from under ground and built from bottom up into em jus a theory 😅,@ALegend4,0,0
"Could be 100% bs… they also recently found that the pyramid, had a room that fills with water below. That used chemicals to fill the king and queen chambers cause a battery type reaction. The water room was used to cause vibration, which could have caused the ground below to ripple and look like that on the ladar. So until they start digging that up, I don’t believe it. They actually dig this up, find anything like that is being described… bro, the story alines with the Samarian scrolls. They buried a spaceship under there lol.",@brianleeBMXDad,1,0
"The Pyramids maybe built buy Giants , Fallen Angles Mastodon's , and Triceratops raised and trained from baby  to do the heavy dragging, to try to find favor with  Jehovah Yahweh, after there fall before the Family of Noah and the Great Flood.  JUST A THOUGHT?",@DaygoDown,0,0
This needs to be talked about MUCH more,@Zack-uw1re,2,0
Has Joe even been to Egypt though? 😂,@akaashusssin6515,0,0
Lidar cannot detect anything underground...  google is on your damn phone people stop being lazy and do ur own research.,@KevinV-fo3om,0,0
Could these structures beneath the great pyramid be the tower of babble.  That the sand surrounding them be a remnant of the great flood?  That the pyramid built on top of the tower was constructed after the flood?,@MrSparkyBarney,0,0
"Best theory I have heard so far is from Ken Wheeler. the ""tatooed monkey"", He concludes they are pizzo electric generators.and explains exactly how they worked. The deep shafts and chambers to the aquafers beneath exerting varying pressure on the mass of the structure above generating stress on the outer limestone casing stones creating constant pizzo electric current focused into the gold summit emitting element..",@adamwilliams7883,0,0
"Maybe the beginning of ""Blue Beam project"".. anyway, incredible discovery despite we knew that these pyramids are designed for something else, most probably harvesting our energy, control ets.",@DJURBANBG,0,0
Have you seen the scans? Reminds me of when people think a blurry photo of a fly is undeniable proof of UFOs.,@CReadiusPro,0,0
So xcheck under ALL pyramids (like they idd not kniew already lol),@AlwayzLong,0,0
This is old news.  Many of us knew this for years.,@alfredmamba,0,0
Joe's cotton mouth on another level,@thomasmurphy6717,0,0
"""The white man tried to destroy Egypt because he didn't understand it, nor could he explain it. "" -Percy Volnar  👈 All roads will lead to this statement.",@percyvolnar8010,0,0
Explains my dreams about the pyramids and possibly the truth about reincarnation blows my mind,@jefferylayfield5788,0,0
Shock absorbers?,@tomhauer3825,0,0
fuck lets go find that nazi gold now.,@robinstreecare3332,0,0
Ye ! It was all built by slaves,@michaelibbs6288,0,0
I wonder how long certain people knew about this before they decided it was OK to release it to the public,@SirTheoTheWhite,0,0
Maybe they were harvesting energy from up above would explains the coils and why they are inline with the stars,@Kenzo90-d5n,0,0
"There is no way this is true, imagine someone with the technology and knowledge to do the pilars and despite that being forgotten or their society wiped out by some ancient men with soft swords and arrows",@miltos873,0,0
so does that mean all the carbon dating is bullshit? as far as the perception of how old things are?,@drezc5444,0,0
aye the sleep token top,@Veintore,0,0
i fucks with the sleep token shirt haha,@samuelralosky8489,0,0
"Zahi Hawas is con artist number one. I lived in Alexandria, Egypt for almost a decade, the narrative and ignorance of the 'elite experts in Egyptology' is staggeringly inaccurate, absurd and dangerous . Hawas doesn't give a shit about anything except his own ego, and Indiana Jones hat. I can guarantee, that all research and truth will be blocked and hidden by not only the Egyptian government, but by the hidden elite who rule our planet. We're living in a very volatile time in the history of humankind, personally i don't think its coincidental that this true discovery has been made at this point in time.",@faiscacapoeira5,1,0
How does LIDAR work through an opaque substance?,@mattpeacock5208,0,0
The sleep token t-shirt yeah,@jacquelineestribi8478,0,0
The sleep token t-shirt yeah,@jacquelineestribi8478,0,0
That's such a bullshit. I can't everybody's falling for it and don't do any research. Did you watch the conference in this? Haha same bullshit like mexican aliens,@vvdfvsfsf3778,0,0
And now they should make the same researches under every other pyramid around the world.,@kolien1109,0,1
Ancient pyramids were simply Tesla coils for wireless electricity to power entire cities. That's why the Electric company murdered him!,@LauraC.O,0,0
Sounds like Forbidden Planet,@jaydee6440,0,0
Why aren’t we lidaring everything at this point?!,@DeadRabbitxx,0,0
Graham will not speak about it because there is not enough evidence.. There is not even a research paper on it and they used SAR not LIDAR.. They need to used Ground Penetrative Radar to get better details under the freaking ground... Cool hypothesis  now I need more evidence,@raullopez3257,0,0
Maybe the pyramids were built to hide those structures?,@Vajra_Light,0,0
IT was Not lidar nor Kilometers deep...,@HEff-kv8bk,0,0
"Hawass also said that there were absolutely no underground cave systems within the Giza plateau and then another explorer said Yes there is and I will show you were they are and sure enough these a huge underground cave systems there,so fuk hawass",@bigmike9527,0,0
If we can see that far underground why can’t we tell more about Irans nuclear laboratory ?,@artholyoke,0,0
The ancient egyptions did not use arches in construction. You can see how large the stone beams are above the chambers to transfer load. Now look at the columns beneath the pyramid. There is no way a sone beam could span from column to column to support the pyramids weight. 100% fake.,@AnAmE4it,0,0
Shit was from a few years ago lmaooo,@TexasChop512,0,0
"I just had a thought, could it be that these coils were built 1st then the Pyramids ontop of it below ground level, then those coils were released to Raise the Pyramid up?  Cuz if that is the case they would not have needed to lift heavy stones to build it as it was pretty much made underground. So they would just have to shape it below ground lvl, carve out the shape of the stones and it was raised with those coils? I dono just a thought. Or maybe it was not even carved, maybe they dug a massive big hole, then build the coils in place, compress & lock them to hold the tension. Then they couldve lowered stones from the top into the hole, building the pyramid for above ground. Cuz they would not have to Raise those big stones, just lower them down the hole. Once all is done, release the coils tension and they lift the Pre build Pyramid up. Cuz listen to what they are saying, we know the pyramids are like 150m tall or somewhere around there, and those coil structures goes down another 600meters+ If you want to lift for example and object that is 1ton is weight and 10 meter high or whatever the case may be, you would need coils 3x longer under more tension. I dono I am probly wrong but meh.",@louisnel894,0,0
Zawi hawas is an ass,@adnaanu,3,0
Either ancient man was smarter than modern man...or it wasn't built by man..,@marcyprojectsbrooklynnewyo4662,0,0
The pyramids were large energy generators. I've been saying this for 5 years.,@RockCh4lk,0,0
The best words you can utter are: I love you & I told you so. Graham Hancock is using the latter as a mantra.,@terrabyte911,0,0
Grabbing my tinfoil hat for this one 🍿,@Rickyrhodes22,0,0
And they never show a damn thing except CGI,@midnightexpress1567,0,0
Somebody get Billy Carson,@HonestJerkWil,0,0
"clown planet , people will believe anything 🤡",@stevemaher7653,2,0
This is all a distraction people. Keep your eyes on JESUS! ✝️❤,@deezyXII,1,0
Bullshit,@alessandromelosi7874,1,0
Ancient Egypt had electricity in the Kingdom. Alexander the Great of Macedonia destroyed all that ancient knowledge.,@YaHemi-l9q,2,0
"We need to release the information and just come together to research and tell the truth about these structures, aliens, and what the government knows about it all. Its MORE than past time for the truth to come out. The Giza Pyramids I have studied for years and there is just something incomprehensible about them. The official narrative is laughably bad, something is up there and we need to find out as a society for all of humanity what that is. Im tired of governments hiding information and their corruption. Screw Zahi for playing as a bad actor to cover up the truth.",@sunskyriver,2,0
EVERYTHING IS A LIE.....,@TheBullet51,1,0
But i thought the paper didn't undergo peer review yet?  Doesn't that just make it conjecture?,@PrinnyLover,1,0
Zahi IS A LIAR!,@emiibbb,1,0
"no, the orignal published paper doesn't say anything of this, it's pretty inconclusive, the radar images aren't that clear, just a bunch of blobs",@MountainGuerrilla,1,0
"Archaeologist didn't used to be restricted by environmental protection or UNESCO, they could do as they pleased. Personally, I believe this is poppycock & balderdash.",@LocomotiveThought,0,0
I love pyramid shi💩🤗,@MAN_MAN730,0,0
Its literally not real,@joshhobson2340,0,0
"Sure, they see stuff with lidar, but they are just making shit up saying it's coils.  They are reaching pretty far on this one.",@bradythomas5532,0,0
"All lies this has been debunked already not everything these morons say should be taken literal at every word. Joe Rogan is a failed actor and fighter who's entire career was based off a show that ripped off jackass. This dude is just a straight up liar, go read the report nothing in it has anything to do with wells under the pyramid NOTHING.",@rob16797,0,0
"They better hurry up and study how this structure works, we got something coming in space",@davidvilla-o8w,0,0
People were living inside subterranean hyperbaric chambers,@samuelreed2994,0,0
Please get Hancocks reaction,@LittlebearJubba88,0,0
Turn it on give the people air!,@AGLTONY,0,0
Fake news 😂,@mikafiltenborg7572,0,0
"If you still believe the Egyptians, the ones who wore pretty headdresses and long robes, built these things, then ya brainwashed.",@KingofNothing-me,0,0
Looks like giant suspension for when the alien ships landed on top of the pyramids like in Stargate,@DirectAim,0,0
That's BS!,@Ansem1689,0,0
Props for Sleep Token tee,@IPleadGuilty,0,0
Joe rogan is not smart.. there’s zero evidence for these 8 cylindrical structures and joe repeats it without question… i worry for americans..,@George2647g,0,0
It’s where I’m buried.,@joshuahamilton5606,0,0
So is it real?,@ghull544,0,0
Conspiricists right again 😂😂,@triztenklk,0,0
Patently bullshit. You don’t see such things in the real world. I wonder what is the purpose of psyops like this and the disclosure nothing-burger from a year or two ago.,@markmason7117,0,0
The void century,@marcosgarcia3169,0,0
So when are they going to apologize for the lies about the Egyptians using Jews slaves  build these structures. 😂😂😂😂. All the Hollywood movies of lies/propaganda  😂😂😂😂,@Saeedmustapha-v1l,0,0
