text,author,likes,replyCount
Watch clips from Superbad on the Movieclips channel: https://www.youtube.com/playlist?list=PLZbXA4lyCtqoNh5TN-mNU2qa7fMY7DnwW,@RottenTomatoesCLASSICTRAILERS,111,6
Great movie !😂😂😂❤❤❤,@aphrodite4473,0,0
love it,@DanielPhillips-r1d,0,0
This movie is so fire,@pierremarais2184,0,0
"Violent misogynist Seth Rogan is in it, his threats against women make this no longer funny 😐",@RoboBreaker,0,0
❤❤❤❤❤❤❤,@ZachQuintana-v7p,0,0
❤❤❤,@ZachQuintana-v7p,0,0
A true work of art,@magnumlad1001,0,0
"My parents didn’t want me to see this movie because it was Rated R so I went to see Spider-Man 3, Ratatouille, Transformers and Hairspray and Enchanted and Shrek the Third and Bee movie.",@jacobgarrity651,0,0
So overrated. Not a single actually funny moment in this movie,@awolfx7947,0,0
"If there's a person on God's Green Earth who is more grateful than me to this film for launching Emma Stone's career, then I don't know who it is!!! ❤😂🎉",@EricBrodie-dy3mp,2,0
"Best comedy ever made. ""NOOO MCLOVIN, WHYYYYYYY"" hahahahahah, I've laughed for 10 years 😂",@mendezgalvez,0,0
jebem vam boga,@zz3ka427,0,0
best movie ever made,@dirkrunfast,0,0
We more comedy like this and just remakes or reboots back when high school used to look in the early 2000s.,@jacobgarrity6410,0,0
9:03 am October 17th 2024,@RandyWhite-e6t,0,0
I’m about to watch this movie for the first time,@RandyWhite-e6t,1,0
ONE of the GREATEST COMEDIES of ALL-TIME!!!,@JeffyPlaysItAll,0,0
"I put this movie on while eating dinner and ended up watching it till the end just sitting by the dinner table. It flew by. Genuinely hilarious movie. Also, the end scene proves it isn’t some misogynistic flick (like many claim). The message is very clear",@FutureAbe,1,0
We had it so good in the 2000s and we didn't even know it,@adsadam1,0,0
before social media accounts kill interactions,@Emmet-q4h,2,0
Me and my friends quote this movie regularly since it came out when we was 12  and now we about to be 30,@cult_horror_junkie8144,0,0
is it just me or these both guys felt gayish in the end?,@rishabhsharma602,0,0
"The movie is all about ps2,flip phone, high school flex of our Gen z.Thank you",@yzx9122,0,0
"Greatest comedy of all time. I remember seeing this aged 16 , never laughed so hard before",@MaxKurth-cs8dt,2,0
💩 story .. 👎🏻,@pollywood1,0,0
hate it,@nikokomac24,0,0
Girish Ad fav movie,@bijuabraham3481,1,0
This movie still ranks up there with the all time funniest of all time hit the like button if you agree,@Jung1981giggles,0,0
Like here who comes from Instragram ❤,@DEVAR270,0,0
Our generation's Animal House,@bionicload7704,0,0
We need a superbad 2,@RapRmxKing,0,0
0:50 no way!! Is that Scott pilgrim!?🤯,@hyperpower6225,4,0
gar nicht mal so lustig,@93Beefcake,0,0
😂😂😂😂😂😂😂😂😂😂watched this movie for first time in 2024 is so good ❤,@silverjay4455,0,0
Thank you to everyone that worked on superbad I watched it so much,@yorucyber2630,0,0
Came here after watching the legendary movie Project X,@Last_Avenger96,0,0
9585 young justice minister,@OKAY0991,0,0
Oh awkward high school days ❤️,@realfakehollywood,0,0
Hacía tiempo que no me reía tanto por una película buenísima,@Arnauero3.0,0,0
Jonah Hill is in every single comedy film I've watched. That Jewish guy who's had a lot to drink and often walks in drunk—that's Jonah for y'all.,@thisissophiaisabelle,0,0
Anyone who went thou public highschool in the mid 2000s gets this movie.,@Luke-ye3tn,0,0
by far my favorite comedy movie ever 😂😂,@MYTHkaz876,4,0
1:30 song?,@riexxxriexxx8690,0,0
Hahahaha this is a movie i keep going back to every year it's gold,@PureVikingPowers,0,0
A masterpiece,@entreprenoren123,0,0
"Loved this movie, watched it even in my childhood when my older cousin showed me it, fell in love with this movie ever since 😂😂🇬🇧🇬🇧",@perkiewitthelean751,0,0
I loved mushrooms,@chadh2241,0,0
In the 1980’s ( I shouldn’t have slept with that guy) Never even Crossed Our Mind nor Was it even an After thought!!!!!!,@Goodboy0953,0,0
Eminems favourite movie,@milosmiljkovic6312,0,0
"Holy nuts this move was released on my birthday, Aug 17",@carmelomillan-carpo8591,0,0
"there is 1 movie where there are trio. One by one of them entered the room at a party with their crush. I don't clearly remember, but one of them had sushi rubbed on his crush's armpits, and the guy ate it",@sideophone,1,2
Te amo mi yessita ♡,@maisoumenos7925,1,0
Is this THE funniest movie ever?,@supratikpaul9772,0,0
Bad teenage boy,@Ernawati-od3tr,0,0
"THIS IS MY BEST MOVIE TO CHILL OUT, THANK YOU TO ALL THE GREAT PEOPLE WHO MADE IT POSSIBLE, please receive a hug to that funky soul dear ones",@theros_oncore,1,0
Omg. In 4 short years this movie will be 20 years old!! 😬The 2000s are becoming the new 80s,@jamieposeidonmccarthy,5,0
Mclovin'? More like Mcstinkin'.,@saffronman100,0,0
Very funny movie 😂😂😂,@WWEtheHunter,0,0
This movie defined my high school experience,@JohnSmith-nm4zd,2,0
gaiso basa jawa,@HAIKALEMYR,0,0
❤,@dijahtrump694,1,0
my fav movie ever!!!,@cityofvicee,0,0
Good movie,@Ohiopoop139,0,0
Time flies 😢,@eddiefernando3057,0,0
One of the last good comedies,@lakelanierbound,0,0
This came out the year after I graduated HS. Brings so many memories ❤😂 I might need to watch it tonight,@gbecks3672,2,0
I doesn't even been to America or any western countries and my culture is totally different but while watching this movie somehow it feels so nostalgic and I feel so connected to this film!,@premrahulvlogs4832,12,3
Nothing will ever beat this,@deependrashukla7449,0,0
8 packs every time I watch this,@Bennythejet93,0,0
Is it normal taking like that to your friend's mom? it's really horrifying to me,@thelogicless9040,0,0
Looks like a good movie with young 21 jump street guy,@Tidepool,0,0
"When this movie came out i was like 5 months old, now I'm 15, time flies...",@lil_mtm0715,2,2
especailly with my aircraft carrier,@jamesrobertson1066,0,0
come at me bro,@jamesrobertson1066,0,0
lets go bro,@jamesrobertson1066,0,0
"""It's YOUUUUUUUUUUU, McMUFFIN!""",@TheGhostofMrArthurs,0,0
Have fun. Will find u later-- gary greenbaum is mclovin fyi...,@zekegreenbaum2077,0,0
“I am mclovin” 👌😂,@izaahtamayo6863,0,0
LMAO ZACK GONNA LOVE,@ee208studios,1,0
1 NAME?! WHO ARE YOU SEAL? lmfao,@erickluviano981,0,0
Best Film ever😍,@lloyd2010,0,0
I saw this in theaters a year before I started high school. What I would give to go back to those days,@XdonteatmypizzaX,12,3
"this trailer shows all the movie, WTF 😂",@panchow4582,1,0
McLovin is a good name,@LJcanal21,0,0
"Red mist, Tighten and Scott Pilgrim",@maadtee6281,0,0
I currently study in university and its my first year that all my friends separate with me due to different courses😭,@alexwalker2263,0,0
Coronakumar,@SkSurya-it7ns,0,0
Best movie ever and Jonah hill's awesome 👍 love from india,@aadityaupadhyay4441,0,0
"02:00 Emma Stone looked completely different here, she was so plain, no wonder she failed in all of her auditions, she seems here as if she was trying to copy Mila Kunis",@haneen7aneen2,0,0
a must watch for every teenager,@matheusmariani3108,0,0
I'm just just her because I LOVE superbad it's Awesome I miss comedies like these that just didn't give  F**K 😂😂,@marquesjohnson6359,0,0
Youtube : 01:35 Most replayed,@HighnessFilms,1,0
"Instant classic!  One of the best films of it's era.  Stands the test of time from beginning to end.  In my opinion it will be up there in my memory with films such as fear and loathing, dazed and confused, and fast times.  A movie for a generation.",@dantheman8642,148,0
Life will never be this good again it sucks,@anonymouswomen469,2,0
In a few short years Jonah Hill went from trying to get booze to scoring ludes,@paulorocky,0,0
I LOVED this movie so much 😂🙌🏾,@AlanaGurl,18,0
