text,author,likes,replyCount
Trump says US will ‘take over’ Gaza Strip in shock announcement ► https://www.theguardian.com/world/2025/feb/05/donald-trump-plan-to-take-over-gaza-strip-netanyahu-visitTrump’s grotesque Gaza proposal is appalling ► https://www.theguardian.com/commentisfree/2025/feb/05/trump-israel-gaza-proposalTrump’s Gaza takeover won’t happen. But it has already changed the face of Israeli politics ► https://www.theguardian.com/commentisfree/2025/feb/19/donald-trump-gaza-israeli-politics-us-president-palestinians-netanyahu,@guardiannews,172,26
"Yes,yrs yaaaas",@astronomyphilly,0,0
They lost me on  0:15 who ever made this video is truly in tune with their wild imagination .,@repentorperish7630,0,0
Its joeover.  The west has fallen chat 😔,@mrbaddin,0,0
Mentally ill,@stevenbennion1544,0,0
at what cost?,@dannyoberthier3053,0,0
Cool!,@junix6899,1,0
This is fantastic!,@sincenobodyasked3123,1,0
tuff video,@boost24,0,0
Is he a mad?!,@Destroyer36952,0,1
wow,@travishensley5495,0,0
Knowing of the history of gaza and the situation...this is just disgusting and disrespectful to the reality that is happening in this moment. 😢,@belonging9200,2,0
Sick man.,@brendasolano1126,0,0
simple crazy,@spello5872,0,0
"SICK, SICK, SICK man!",@sylviabowman2927,0,0
Best thing on the guardian in years 😂,@emilygooner9697,2,0
End of America ...,@MohamadNiflan-eh7oi,0,1
This is awesome😂😂,@johankrausse9026,0,0
فشرتو غزه والقدس بلد عربي أصيل تاريخ فلسطين المشرف اقدم من تاريخ امريكا واليهود أمريكا الذي اسسها الهنود,@mayaboudaoud257,2,1
"lyrics:Donald’s coming to set you free, bringing the life for all to see. No more tunnels, no more fear, Trump Gaza is finally here. Trump Gaza shining bright, golden future a brand new light. Feast and dance the deal is done, Trump Gaza number one",@hayato3164,2,0
So they want to clone Dubai? Can the rich Saudis pick up the bill as well since it is all Saudi style...,@199724,1,0
Did Trump really make this,@cespy1885,1,0
Why are we in league with Israel?,@Xixbalba,0,0
What is Elon Musk eating?,@SaadiqEl07,0,0
✌✌👍👍👍🙌🙌🙌💪💪💪❤❤❤❤❤👏👏👏👏,@olermochannel,1,0
This is a total disgrace. Every U.S. citizen with morals should be outraged at Trump. Sick!!!,@mgronda410,4,0
غزة للفلسطينيين ولماذا يا ترامب لا تعطي امريكا للهنود الحمر,@Milad-f7u,4,0
"Ok MAGAs, now do you see the true character of Trump?",@davo2587,2,0
"When will Trump and Netanyahu be judged on this earth, who have the blood of innocent Palestinian children on their hands?😢😢😢",@damavacadanza,2,0
