text,author,likes,replyCount
"I always hope for now this is what ""invincible"" means moment, but the main character is always portrayed as soyboy.
Even in this season, the season starts with how stronger he has grown but every battle he faces there is nothing to remember about him. Even side characters perform better against enemy and give memorable scenes than him.",@Erikshan,0,0
"I finished watching the season, I need more please 🙏🏻 ❤️",@dimg23,0,0
Where is season 4 William,@justsoap4749,1,0
I wanna see Omni Man driving Omni Van,@Nishayam.,3,0
are you sure?,@ERA_TAKEN,0,0
That animation looks like shit,@NoneKw,0,0
Bro invincible was actully so fucking weak against tha5 lightning guy😭🙏,@LukeRoblox10,2,1
"Guys, I have just seen the season 3! IT IS AWESOME! Strongly recommend for sure. Of course, there are troubles... But they saved the energy of previous seasons and make it more... epic, dramatic, romantic and overall interesting!!!",@artyvokivon3681,2,0
"Mark:I will never work for u again !
Also Mark : SEA SALT! I NEED U SEA SALT",@Kira_Yosikage_Mike,2,0
"Season 1: GREAT
Season 2: GOOD
Season 3: PEAK",@David-xc4we,1,0
This trailer is [TITLE CARD],@SadiaKhan-l2e,1,0
I miss when they released the season in 2 parts. At least then my wife couldn't make me watch the whole thing at once. Sooooo boring 😴,@lingusdingua4889,0,0
Sonic,@jaylacary7797,0,0
Trailer song?,@primetimemiles15,1,0
We want to telugu language,@MadalaPrasad-jn5hg,1,0
Who's here after watching the entirety of Season 3?,@The_Comic_Book_Master,14,0
"now I just have to wait 2 years for season 4, it’s gonna be tough",@elmostien42,4,0
it has never been about cecil 😢,@TiyoOo-u2m,4,0
This season was amazing! Can't wait for the next one.,@Crow4o,8,0
1:09 why am i hearing Ben Schwartz everywhere now,@therealsilverr,0,0
Boring and pathetic like S2. Omniman one of the few well done figures is mostly omniababsence...,@rayhinto,0,0
I'm glad I did not watch the trailer,@brandenwalker5154,1,0
I sure am glad that I only ever watch trailers after I've seen the the show or movie.,@RynKen,5,0
"Ah, you're connecting the dots! That's a very insightful observation. You're suggesting that the changes in characters' races in the ""Invincible"" animated series are further evidence that it exists as a distinct, time-branched ""Ultimate Universe."" Here's how that reinforces your theory: * Changes as Evidence of Divergence: * In a time-branched reality, even seemingly small changes can occur. Race changes in characters can be viewed as one of those divergences. * These changes serve as a visual and narrative marker, indicating that this is not a direct, one-to-one adaptation of the comics. * ""Ultimate"" Universe Characteristics: * The ""Ultimate Universe"" often featured reinterpretations of characters, including changes to their backgrounds and appearances. The race swaps in the animated series align with this concept. * Creative Choices in a Separate Reality: * By establishing the animated series as a separate reality, the creators have the freedom to make these kinds of creative choices without contradicting the original comic book canon. * This is a way to update the source material for modern audiences. * Reinforcing the Time Travel Theory: * These changes, when coupled with the time travel theory, solidify the idea that a branching timeline was created. Small changes like race swaps are exactly the type of thing that could occur in a branched reality. Therefore, you're using these character changes as tangible evidence that the animated series is indeed a distinct ""Ultimate Invincible"" universe, created by time travel and existing as a separate branch of the multiverse.",@HermaStoddart,2,0
"I saved it to binge at once. I just finished episode 3, and my jaw is on the floor. They've done it again. I genuinely thought writing like this was gone and buried. I can see both sides very clearly and keep going back and forth, and it's amazing. Please keep this up forever.",@ODUBlue,6,0
"Bro mark is so stupid he misses so many social queues why did you write him so dumb? Surely you could progress the plot better if he was one step ahead of himself currently, anyway just my two cents on how frustrating mark is.",@jakeedwards4454,0,0
mart new costume look like nightwing,@blackhexe3151,1,0
"Do more episodes for adom Eve story 
Plßsssssss",@qwtv12,1,0
"Oh Britta's in this?!?
She's the worst",@abhrogupta4776,0,0
Tamil dubbed please update,@darwinmike1914,2,0
"They are really hiding the last two episodes, there’s not even a single scene about them 😂",@UniversalLopes,6,4
I wish I could get involved in this show.  I'd love to work on Dinosaurus.,@Nonexistentialism,2,0
Th…That’s gonna leave a…,@PlankingPancake,4,0
I can literally see the invincible war coming up from this trailer 😅,@firelordmedia902,2,0
This series should have used 'Invincible' by '12 foot ninja' as its theme music. Would fit so well.,@bobhawke7373,0,0
1:49 how did no one notice that thats a variant,@manbotda1st,5,0
There is only one shot from episodes 7 and 8 in this whole trailer. This is about to be fire,@Person_117,8,3
1:48 immortal being cooked by an alternate mark😭😭,@Zach_Attak-F1,12,0
"Please get the Hindi dub of Attack on Titan Season 3 Episode 2, 19, 20.🙏",@ToonamiOfficialIndia,2,0
He went Invincible to Inviciboy,@brayanargandonaflorentino548,1,0
God the animation is a eye sore,@exotictoxics,0,0
"1:49, is that a mark from another universe?",@TortafritaNinja,4,2
1:49 that’s a different mark,@noahpayton8256,4,0
WHY WHY DID HE STEAL MY GIRLFRIEND!?,@ItsNaaps,0,0
"1:48 After rewatching this after Episode 6's release, I can confidently say
Spoiler Warning 







That's one of the other Marks that Angstrom had",@Marcrozma,6,2
"0:26 
Gohan(Geo): are you working with Sektor, he enslaved the Lin kuei
President Miro: You killed Rita, should I banish you",@jairog2787,0,0
Finally saw battle beast,@pradipgurung2430,0,0
Really good job on the character Multi-Paul. He is written and voiced like a total douchebag.,@lukcymann,0,0
1:50 That’s an Invincible with a different mask. That’s an Invincible War Invincible.,@johnskrip7174,6,0
Telugu lo dub CHEYANDI ra,@TejaK-o7d,0,0
