text,author,likes,replyCount
❤,@adobysh,0,0
5:31 thug glasses,@sahilrawat7966,0,0
"It is not useless, you just never learn how to use it. Or even connect the dots together",@bingfenggoh3885,0,0
"Everyone around me said i ahould start with leetcode problems and study dsa at the same time.Cause ""wasting time on theory is not worth it""tho i don't agree with this.Im not sure which method to follow.I forgot dsa so im trying to go through the topics again.What do i do?",@jahnavic-c6l,0,0
❤,@56_shivanshrahangdale10,0,0
"Thank you for this. I've been a low level Python developer at my job for a few years now and even some of the 'easy' leetcode problems made me feel dumb and that I'd bomb any technical interview if I changed companies. If you are passionate about coding but aren't mathematically inclined, try to leverage any communication skills you have so that you can show interviewers that while you may not have a Rain-Man level of math skills, you can still reason through a problem(given the resources) and tell them why something is important for end-user reasons.",@jizamurai,3,1
"Fornme every problem destroys my conf in lc, because when i see a question i feel its tough then i go to yt to get its soln and explanation and later i find out that was easy and then i feel its useless what i hav studied till now i cant even find the soln",@Tejs_45,0,0
Yes I know bsiacs code like bfs DFS dijtras and all but when I went into leetcode for solving questions I don't know how to solve,@Tejs_45,0,0
I ve been coding for almost 5 years and I still can't figure out leetcode.,@ozgurbusinessman,0,0
"Commenting even for my own future reference:

I believe the problem arises from rushing. You get stuck in a comfy job, getting a okayish pay but you know you are under paid and deserve more. Suddenly you are browsing linkedin and a friend of yours posts they are starting a new job at a Tier 1 firm and getting good money now. You get frustrated that while you were planning and making strategies, someone outworked you and now is in a better position. 

The frustration is what drives you to pursue the uncharted and now you want to grind leetcode within a month and crack a good company. But to your surprise, since you became comfy, now you lack skills, because your daily job wasn’t challenging enough. Hence you are not able to solve easy problems which makes you frustrated. Heck you even apply to jobs and get OA links but you see that you are straight away bombing those tests. 

Its mid of 2025 and one has to up their game to stay relevant. These days its easy to ask AI to summarise all of leetcode problems and you can memorise it. But trust me even if you get the job this way, in no way you will survive. 

Thus, my point is, leetcode is often associated with a frustrated engineer. That should not be the case. This video explains it very well. If you don’t have the habit of comp programming, you will struggle and its fine. Take baby steps to learn the fundamentals and write them down, whatever you learn. Revise Revise and Repeat. If you have good grasping, in a few months you will be in a position to solve mediums quite well. Don’t be frustrated where you are and by what others are doing. Nobody shows the failures and nobody shows the grind. Keep your head down, be physically and mentally healthy, and study.",@theTranquilYoung,1,0
"this video should be played on a large screen on stage—when cs students graduate, right before they go on stage to take the certificate.",@gshard14,0,0
"It's basically chess, when you're learning chess masters will always tell you, do only fork problems this week, next week only checkmates, dedicate an entire week to a single list of problems where when you see them you know what's going on.

Leetcode it's just like learning these weird one in a million checkmates like Smothered mate, hell, I've been playing chess since I'm 9 and I'm yet to see a single smothered mate in a game but the moment it happens you know it due to pure repetition lol",@SnowStreets,0,0
I got 5 ads on this 10 minute video… that is criminal,@mikekilovictor4010,0,0
"great video, man! love it😎🤙💯🔥",@is-smct26,0,0
bro is just waffling,@alienjacker,0,0
"20 minutes of video and only thing of value he said is to learn the basic DSA first . Binary search , bfs , dfs , sliding should be at your fingertips , rest is just blah blah blah . No respect for his or others time . Just blah blah blah",@Philosphix,0,0
What he's talking about really hits hard when you think about the first time you learnt the solution to swap 2 numbers. I respect you sir 🫡,@abhaykamath2988,0,0
Knowing how to solve those stupid problems that takes gpt 2 seconds to solve for you is exactly the reason why interviews keep asking those stupid problems. Which will it help you be a better coder in any way btw. Especially today with gpt.,@daviddayag,0,0
It's the difference between recognising a valid solution or coming up with it 😄,@abdullatifrashdan9426,0,0
Very great speech!!!!,@秦宇澔-h8o,0,0
this guy gets it,@samuelh5,0,0
"Damnnn, you can tell how passionate you are about this.

I honestly think this is the most valuable video I've watched from you thus far.

Thanks for all your help bro 🙌",@advanced_code_made_easy,0,0
"In the best way possible, this video makes me feel like the teacher kept me after class😂",@MendleRS,0,0
"thanks man.,",@JavidLeo,0,0
"Wax ON Wax Off (Karate Kid - 80's)

He said something very important:
Learning Hard things need you to keep multiple pieces of Information in mind. 
When learning difficult subjects, If simpler, foundational things are already perfected, you don't need bandwidth for those and you can focus mainly on the incremental stuff.  And don't just practice (as in rote learn), in grain (make strong neural pathways) by asking why, why not and how.",@guptamols,0,0
Save this video and rewatch it after weekly LeetCode contests. Thank me later.,@laraibansari-b5r,0,0
"Bro, this was the video I needed to see today",@89det,1,0
You have to play with it. Get around the unknowns.,@mmitchell1727,0,0
"I find it impressive that you grew fond of teaching Algorithms and help so many people, ty.",@bvlmari6989,0,0
"I liked the way you linked all of it to the school...math....physics stuff which made me realize why cant i do it now which i did it in my school days. Its just the concept or the subject (leetcode) thats changed but not ME. coz i myself a topper in my school days and now im struggling for this...i mean ACADEMICALLY! i cant bear it anymore. Its either me or this competitive programming. i might gonna create a timetable just like school days for each data structure lol. if anyone came this far to read all my sh*t, kindly hit a like button to my comment so that it can keep inspiring or can i say TRIGGERING me to grind it. thanks",@YashwanthReddyKuchipudi,0,0
You have to be iterations not repetitions it is the best way to get better at leetcode,@anubhav.codess,0,0
"00:00 Learning DSA and core algorithms is important for high-paying job opportunities, even though Leetcode is academically difficult and requires perseverance. Collapse
Grinding Leetcode is not necessary for most full stack jobs, but the speaker will provide simple points on how to approach it effectively.
Learning DSA and core algorithms is still useful, even if it may seem useless, because grinding Leetcode can lead to high-paying job opportunities, as it did for the speaker at Google.
Leetcode is the most academically difficult thing the speaker has ever done, even more so than college, and it is important to understand that it is harder than all other classes and requires perseverance to become familiar with it.
🧠
02:27 Leetcode is about systems and processes, not intelligence, and the speaker learned by using online resources and providing clear explanations for solutions. Collapse
Leetcode can be challenging, but it's not about intelligence, it's about systems and processes, and the speaker learned by going to the solutions tab when stuck on difficult problems.
The speaker discusses using online resources to find solutions and explanations for Leetcode problems, highlighting the importance of finding clear and understandable explanations.
In the past, there was little explanation for Leetcode problems, but now the speaker makes videos to provide intuition and understanding of solutions.
🧠
05:02 Practice and repetition are essential for learning Leetcode, as it requires a step-by-step process similar to learning math, and many struggle because they attempt problems beyond their skill level without mastering the basics first. Collapse
Learning Leetcode is not easy because the methodology of learning it is different from learning math or physics, and it requires a step-by-step process similar to how children learn math.
Practice and repetition are essential for learning and retaining difficult concepts, as simply understanding something once does not guarantee the ability to do it again later.
Many people struggle with Leetcode because they attempt problems beyond their skill level without mastering the basics first.
🧠
07:39 Master the basics and core algorithms, practice repeatedly, and don't be discouraged by the time it takes to understand and solve Leetcode problems. Collapse
Master the basics before moving on to more advanced problems, and don't be discouraged if it takes time to understand and solve them.
Repetition and practice are essential for learning Leetcode, and the speaker realized that their previous approach was not sufficient.
Learn and practice core algorithms like binary search and DFS before solving Leetcode problems to improve your skills.
Learn and practice a short algorithm repeatedly to be able to implement it quickly and easily when solving Leetcode problems.
🔍
11:18 Implementing algorithms multiple times gives a big advantage in solving Leetcode problems and reinforces understanding. Collapse
Understanding and implementing binary search is easy and efficient, requiring repetition to master.
Implementing algorithms multiple times gives you a big advantage in solving Leetcode problems, making medium problems easier and reinforcing your understanding.
🧠
13:02 Understanding the why behind math and algorithms is crucial for excelling at Leetcode and competitive programming. Collapse
To excel at Leetcode and competitive programming, one must treat it like learning the ABCs, even if it's not always fun, and the next level of improvement involves smart repetition and practice.
Understanding the why behind math and algorithms is crucial for solving problems effectively.
🧠
15:08 Spend time understanding concepts, practice with examples and creative edge cases instead of memorizing. Collapse
Spend time thinking about and understanding the concepts rather than trying to memorize them.
Practice by walking through examples, use pen and paper when stuck, and think of creative examples and edge cases to reinforce understanding.
📝
17:17 Repetition, structure, and handwritten notes from childhood are useful for learning, and having too much freedom as an adult can lead to procrastination.",@workhard5971,0,0
"Your explanation is really really good man, thanks for that",@MatheusAraujo-lu1ep,0,0
"I feel ya on the leetcode grind, but it's wild how you break down that whole learning process. It really is about those systems and processes, right? I remember struggling like mad with those """"easy"""" problems, lol. It's not just about brute force memorization but really getting why something works. And yeah, repetition gives you that muscle memory. But real talk, leetcode does seem to test more on the academic side than practical coding skills. That’s why something like zylyty feels like a game-changer. It focuses on real-world coding challenges, which might prep ya better for actual job scenarios without that constant fear of getting stumped by an """"out-there"""" problem. Anyway, thanks for the insights!",@worlddigitalclinic3264,0,0
repeating the same problem is greatly different from repeating the same topics. You did not clarify that and I think many people took the former as what you meant. Which is extremely extremely detrimental to growth,@braindamage03-hp2ub,1,1
DOPE,@LukeAvedon,0,0
"I've been preparing interview and practiced LeetCode, and I feel anguish and being tortured.",@skyjoe3655,0,0
